Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/hssf/record/UseSelFSRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;11;2;0;4;21;49;1;3;9;0.975;106;0.25;0;0.6;0.5227272727272727;1;6;8.272727272727273
org/apache/poi/hssf/usermodel/HSSFShapeContainer;0;2;1;0.02515723270440251;0.9766397124887691;16;0.40251572327044016;15.626235399820306;;1;1;0;3;1;0;3;0;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0
org/apache/poi/poifs/filesystem/POIFSDocument;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;16;1;0;20;55;0;9;14;14;0.5;450;1.0;3;0.0;0.19886363636363635;0;0;26.875
org/apache/poi/hssf/record/TabIdRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;11;2;0;4;25;43;1;3;9;0.8;179;0.0;0;0.6;0.41818181818181815;1;6;15.090909090909092
org/apache/poi/hssf/record/HCenterRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;12;2;0;6;22;46;3;3;10;0.8181818181818182;125;0.5;0;0.5714285714285714;0.4;1;6;9.25
org/apache/poi/hssf/usermodel/HSSFPrintSetup;1;2;2;0.07547169811320753;1.9721473495058401;468;21.83647798742138;464.6145552560647;;39;1;0;3;78;0;2;1;38;0.9236842105263158;234;0.0;1;0.0;0.30256410256410254;0;0;4.743589743589744
org/apache/poi/poifs/property/RootProperty;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;3;3;0;8;10;3;6;2;1;2.0;27;0.0;0;0.972972972972973;0.6666666666666666;1;1;8.0
org/apache/poi/hssf/record/DefaultRowHeightRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;14;2;0;5;24;69;2;3;12;0.7692307692307693;153;0.6666666666666666;0;0.5217391304347826;0.48214285714285715;1;6;9.714285714285714
org/apache/poi/hssf/record/formula/AddPtg;0;2;2;0.02605570530098833;1.9559748427672956;70;1.663971248876909;68.37556154537288;;10;3;0;4;14;45;2;2;10;1.1111111111111112;63;0.3333333333333333;0;0.6521739130434783;0.32;1;4;5.0
org/apache/poi/hssf/record/formula/EqualPtg;0;2;2;0.02605570530098833;1.9559748427672956;79;1.8418688230008982;77.1707097933513;;9;3;0;4;13;36;2;2;9;1.125;61;0.0;0;0.6818181818181818;0.3333333333333333;1;4;5.555555555555555
